k,gm,gm_e,nm,nm_e
176,2.435252102580894e-7,0.000279595443689982,6.56146504017592e-22,5.847074959912566e-7
177,2.274121942275779e-7,0.00026230316608247733,5.038031862795726e-22,5.108412470656074e-7
178,2.123731732548491e-7,0.00024608037251558725,3.8674434652328303e-22,4.4630654043718163e-7
179,1.9833597004959773e-7,0.0002308609180812153,2.968440681752034e-22,3.8992451995839657e-7
180,1.852333026598755e-7,0.00021658274876809063,2.2783306331526347e-22,3.4066525468314545e-7
181,1.7300244905226412e-7,0.00020318764845005046,1.7487514996635973e-22,2.9762892510764573e-7
182,1.6158493493475263e-7,0.00019062100152246236,1.3424623795578284e-22,2.6002938615833923e-7
183,1.509262431916441e-7,0.0001788315702189897,1.0307987758418342e-22,2.2717980667177345e-7
184,1.4097554341557492e-7,0.00016777128570075693,7.917228489192377e-23,1.9848012304269783e-7
185,1.3168544012982205e-7,0.0001573950520661263,6.083093607105342e-23,1.734060778560348e-7
186,1.2301173839350318e-7,0.00014766056248197924,4.6756706230770674e-23,1.514996432713037e-7
187,1.1491322557496567e-7,0.00013852812668681692,3.5953825911645245e-23,1.3236065422336356e-7
188,1.0735146816509836e-7,0.0001299605091623621,2.76587271761669e-23,1.1563949860306526e-7
189,1.0029062258137354e-7,0.00012192277731384146,2.1286278366478898e-23,1.010307308892698e-7
190,9.369725898822842e-8,0.00011438215903993765,1.6388677361521474e-23,8.826749257238208e-8
191,8.754019722766688e-8,0.0001073079091116824,1.2622757846375174e-23,7.711663744722057e-8
192,8.179035401805862e-8,0.00010067118381548051,9.72577233930077e-24,6.737447272889685e-8
193,7.642060063847025e-8,9.444492334914876e-5,7.496214651051028e-24,5.886303819462593e-8
194,7.140563037063695e-8,8.860374149146494e-5,5.77950872744819e-24,5.1426855382512215e-8
195,6.672183502213675e-8,8.312382209537898e-5,4.457229880948551e-24,4.493008746489207e-8
196,6.234718990173997e-8,7.798282198285952e-5,3.438308996416611e-24,3.925405791561033e-8
197,5.8261146661667524e-8,7.315977984545096e-5,2.6528734160471427e-24,3.4295082644700384e-8
198,5.4444533463190976e-8,6.863503077910273e-5,2.0472935009218926e-24,2.9962576000049755e-8
199,5.087946195926599e-8,6.439012610480528e-5,1.5802258243140538e-24,2.617739603836435e-8
200,4.7549240623946004e-8,6.040775814811879e-5,1.2198829958134499e-24,2.2870398838478894e-8
