p1,p2,p3,T
0.5489042944309417,0.2711981489436174,0.17989755662544094,C
0.5632640776240684,0.2642799055522195,0.17245601682371214,C
0.5780987554621304,0.25691952495642756,0.16498171958144203,C
0.5933373115844116,0.24915086202388054,0.15751182639170785,C
0.6088991198392388,0.241017333286725,0.15008354687403616,C
0.6246962293392312,0.23257061382194522,0.1427331568388236,C
0.6406360867410463,0.2238688444260729,0.13549506883288076,C
0.6566244745025123,0.21497450750745065,0.1284010179900371,C
0.6725684262787057,0.20595216189029125,0.12147941183100303,C
0.6883788995796033,0.19686622745624377,0.11475487296415293,C
0.7039730342162328,0.1877789834100574,0.1082479823737098,C
0.7192758900211663,0.1787488980836378,0.10197521189519587,C
0.7342216246824083,0.16982935511826036,0.09594902019933138,C
0.7487541307845995,0.16106779097235774,0.09017807824304275,C
0.7628271935901414,0.15250521898408415,0.08466758742577446,C
0.7764042558898604,0.14417608868395607,0.07941965542618354,C
0.7894578852516667,0.13610841540953983,0.07443369933879346,C
0.8019690360203905,0.12832411217868767,0.06970685180092184,C
0.8139261877907311,0.12083946007736171,0.06523435213190718,C
0.8253244276222397,0.11366566204937567,0.06100991032838465,C
0.8361645278853984,0.10680943545459998,0.05702603666000161,C
0.8464520572067868,0.10027360934188546,0.05327433345132769,C
0.8561965495419577,0.09405770200151674,0.04974574845652559,C
0.8654107463349712,0.08815846249725873,0.0464307911677701,C
0.8741099190012522,0.08257036638129395,0.04331971461745382,C
0.8823112733452176,0.07728606074579833,0.04040266590898403,C
0.8900334336469942,0.07229675735984781,0.03766980899315803,C
0.8972960016580795,0.06759257512081684,0.03511142322110361,C
0.9041191842977229,0.06316283465528556,0.03271798104699157,C
0.9105234831539589,0.05899630885066752,0.030480207995373557,C
0.9165294387348989,0.05508143356558852,0.028389127699512587,C
0.9221574226087462,0.05140648289868253,0.026436094492571248,C
0.927427470981994,0.047959713303009986,0.02461281571499605,C
0.9323591537982906,0.044729480599648805,0.0229113656020606,C
0.936971474028406,0.04170433362921708,0.021324192342376952,C
0.941282792419375,0.03887308792637789,0.01984411965424715,C
0.9453107735492392,0.03622488243845515,0.01846434401230565,C
0.9490723495753796,0.033749221953862804,0.017178428470757637,C
0.9525836985599339,0.03143600757062386,0.01598029386944228,C
0.9558602347013644,0.02927555722625205,0.014864208072383565,C
0.9589166081966799,0.027258618030627874,0.013824773772692228,C
0.9617667128061325,0.025376371893841822,0.012856915300025716,C
0.9644236994947374,0.0236204357204402,0.011955864784822415,C
0.9668999947866936,0.021982857248345842,0.011117147964960519,C
0.9692073226939303,0.02045610744270928,0.010336569863360436,C
0.9713567292727556,0.019033070209642265,0.00961020051760211,C
0.9733586090269013,0.017707030069739317,0.008934360903359383,C
0.9752227325148131,0.016471658324133557,0.008305609161053381,C
0.9769582746371598,0.01532099815434711,0.007720727208493105,C
0.9785738431801891,0.014249449019354498,0.007176707800456362,C
0.9800775072743683,0.013251750647255967,0.006670742078375768,C
0.9814768254980167,0.012322966863129482,0.006200207638853782,C
0.9827788734143561,0.011458469447561952,0.005762657138081946,C
0.983990270379305,0.010653922180798487,0.0053558074398965365,C
0.9851172054979218,0.009905265194297363,0.0049775293077808265,C
0.9861654626409256,0.009208699723794646,0.004625837635279715,C
0.9871404444602961,0.008560673334945793,0.004298882204758067,C
0.9880471953655122,0.007957865673520552,0.003994938960967228,C
0.9888904234403191,0.007397174776378104,0.003712401783302819,C
0.9896745212947048,0.006875703966524531,0.0034497747387706792,C
0.9904035858585875,0.006390749345013433,0.003205664796399113,C
0.9910814371330569,0.005939787883915392,0.0029787749830277556,C
0.9917116359222827,0.005520466117732657,0.0027678979599846127,C
0.9922975005747668,0.005130589425198413,0.002571910000034743,C
0.9928421227667398,0.004768111889143808,0.0023897653441164153,C
0.9933483823634747,0.00443112671884355,0.0022204909176817807,C
0.9938189613962799,0.004117857216795582,0.002063181386924519,C
0.9942563571941501,0.0038266482701114924,0.0019169945357384432,C
0.9946628947096269,0.0035559583454719762,0.0017811469449011469,C
0.9950407380784795,0.003304351965836048,0.0016549099556844712,C
0.9953919014524681,0.0030704926466984485,0.0015376059008334097,C
0.9957182591437799,0.0028531362695959975,0.0014286045866241312,C
0.9960215551188042,0.002651124870710361,0.0013273200104854475,C
0.9963034118778037,0.0024633808227520642,0.001233207299444245,C
0.9965653387557823,0.002288901388796526,0.0011457598554211255,C
0.9968087396785021,0.0021267536273427063,0.0010645066941551511,C
0.9970349204061791,0.0019760696285496737,0.0009890099652711893,C
0.9972450952959393,0.001836042062352106,0.000918862641708595,C
0.9974403936126353,0.0017059200199427587,0.0008536863674219847,C
0.9976218654161635,0.001585005130922142,0.0007931294529143688,C
0.9977904870519615,0.001472647939239876,0.0007368650087986295,C
0.9979471662699422,0.0013682445218779588,0.0006845892081798648,C
0.9980927469957326,0.001271233335044895,0.0006360196692225225,C
0.9982280137767355,0.0011810922734546653,0.0005908939498098004,C
0.9983536959242332,0.0010973359290506594,0.0005489681467161652,C
0.9984704713715056,0.0010195130362979303,0.0005100155921964951,C
0.9985789702667363,0.0009472040919045534,0.0004738256413591922,C
0.9986797783183402,0.0008800191375423532,0.0004402025441174413,C
