"r","p1","p2","p3"
0.02104904144512021,0.25681725299295066,0.3197276624694218,0.423455080989313
0.01788649529057435,0.2622731180327095,0.3217194933105278,0.41600738660257874
0.01519911082952934,0.26738124419806036,0.32342509846249995,0.4091936554628813
0.01291549665014884,0.2721563249470147,0.32488590621532176,0.4029577668810011
0.010974987654930561,0.27661478285481583,0.32613561995865703,0.3972495942365328
0.0093260334688322,0.2807743396265439,0.3272012699991265,0.3920243879296254
0.007924828983539169,0.2846495749442874,0.3281119745328729,0.38723844876990143
0.006734150657750821,0.2882572098242694,0.3288885729167215,0.38285421444410583
0.00572236765935022,0.2916127359775007,0.32955086065943756,0.37883640111061134
0.004862601580065354,0.29473153652139056,0.3301149374913827,0.3751535237975929
0.0041320124001153384,0.2976280966470479,0.33059555336705626,0.3717763484689965
0.003511191734215131,0.30031639662443116,0.331005140926374,0.36867846087193645
0.0029836472402833404,0.3028102901933458,0.33135352360532166,0.3658361858372892
0.0025353644939701114,0.3051227343755205,0.3316493613538625,0.3632279023186279
0.0021544346900318843,0.30726807893385727,0.3318960988558559,0.3608358214493527
0.0018307382802953678,0.3092499089796429,0.3321164052024379,0.3586336842554491
0.0015556761439304723,0.31108756236318663,0.33229870994795246,0.35661372606776176
0.0013219411484660286,0.3127875741803603,0.33245539071578184,0.3547570328952182
0.0011233240329780276,0.31436206602020533,0.3325856205828887,0.3530523110658993
0.0009545484566618337,0.3158177412662741,0.33269756602747785,0.3514846915209066
0.0008111308307896872,0.3171635568375641,0.33279305597726605,0.3500433845994788
0.0006892612104349695,0.3184080382034189,0.33287362924662245,0.3487183314270887
0.0005857020818056667,0.3195576364609826,0.33294349729617173,0.3474988658392425
0.0004977023564332109,0.32062024279951734,0.333001987886634,0.34637776713775037
0.0004229242874389499,0.3216022321600773,0.3330513948529726,0.3453463720113646
0.00035938136638046257,0.32250887782676296,0.3330939093056255,0.3443972109259107
0.0003053855508833416,0.32334646231765174,0.3331296118519063,0.343523923448935
0.0002595024211399735,0.32411979693996124,0.33316009093576554,0.3427201092528196
0.00022051307399030456,0.3248337281608286,0.33318635080507836,0.3419799191047624
0.0001873817422860385,0.32549291698357335,0.3332082091956112,0.34129887144000765
0.00015922827933410923,0.32610114179049193,0.33322726431200034,0.34067159041761785
0.00013530477745798074,0.32666274029990533,0.3332432547635774,0.3400940033015583
0.00011497569953977356,0.32718101483680806,0.3332567928000014,0.339562192182281
9.770099572992247e-5,0.32765919403222526,0.3332680058929005,0.3390727969234631
8.302175681319752e-5,0.3280996521259433,0.33327934853213576,0.3386209981460287
7.054802310718646e-5,0.3285076379633124,0.33328618410072586,0.3382061777811607
5.994842503189409e-5,0.3288828026473205,0.33329375729993815,0.3378234374910124
5.0941380148163754e-5,0.32922935729670627,0.3332995917146038,0.33747104736373684
4.328761281083062e-5,0.32954945734370933,0.3333036612678695,0.33714687839903934
3.678379771828634e-5,0.3298435755361505,0.3333094960593804,0.3368469270566744
3.1257158496882356e-5,0.33011551025958924,0.33331284762479063,0.33657163794032224
2.656087782946684e-5,0.3303667578375916,0.33331526660216265,0.3363179736874119
2.2570197196339216e-5,0.3305978156070355,0.33331844876669153,0.33608373424535537
1.917910261672489e-5,0.33081066333852277,0.3333213647031718,0.3358679689105814
1.6297508346206434e-5,0.3310074311872128,0.33332303936752755,0.33566952574405384
1.3848863713938717e-5,0.3311892013860068,0.3333241584543867,0.33548663735457146
1.1768119524349992e-5,0.3313566062842377,0.3333255889499121,0.33531780454424365
1.0e-5,0.3315107353140148,0.33332676356955887,0.33516249875598597
