p1,p2,p3
0.17664235156533314,0.268,0.5553576484346668
0.177,0.26820001972154434,0.5547999802784556
0.178,0.2686584810713625,0.5533415189286376
0.1789563462629376,0.269,0.5520436537370624
0.179,0.26901438324071486,0.5519856167592851
0.18,0.2692608826209572,0.5507391173790428
0.181,0.2694234452856742,0.5495765547143258
0.182,0.2695068924056,0.5484931075944001
0.183,0.26951571345253705,0.547484286547463
0.184,0.26945409396601283,0.5465459060339872
0.185,0.26932594058181514,0.5456740594181848
0.186,0.2691349036321379,0.5448650963678622
0.18653431320331026,0.269,0.5444656867966897
0.187,0.2688782168805625,0.5441217831194374
0.188,0.2685554159469989,0.5434445840530011
0.189,0.268177114648557,0.542822885351443
0.18940707814060517,0.268,0.5425929218593948
0.19,0.26773275903846555,0.5422672409615346
0.191,0.26722732692961504,0.5417726730703849
0.19140621185028334,0.267,0.5415937881497167
0.192,0.26665549404925026,0.5413445059507498
0.193,0.26602379747953664,0.5409762025204633
0.19303460227550429,0.266,0.5409653977244957
0.194,0.26531110632651905,0.540688893673481
0.19440661847527693,0.265,0.540593381524723
0.195,0.2645282053812929,0.540471794618707
0.195622618958965,0.264,0.540377381041035
0.196,0.263666732769586,0.540333267230414
0.19671059821855277,0.263,0.5402894017814472
0.197,0.26271682133389157,0.5402831786661084
0.19769209019381134,0.262,0.5403079098061887
0.198,0.26166674499692977,0.5403332550030703
0.19858393020449183,0.261,0.5404160697955082
0.199,0.2605024604854565,0.5404975395145435
0.19939947007044392,0.26,0.5406005299295561
0.2,0.2592070064181255,0.5407929935818745
0.20014943466834034,0.259,0.5408505653316596
0.20083231270080837,0.258,0.5411676872991916
0.201,0.25773935873814824,0.5412606412618517
0.20145417414320263,0.257,0.5415458258567973
0.202,0.25605717579312953,0.5419428242068705
0.2020316757677799,0.256,0.5419683242322201
0.20254440851417904,0.255,0.542455591485821
0.203,0.2540460058156179,0.542953994184382
0.20302105412400784,0.254,0.5429789458759922
0.20343656849536698,0.253,0.543563431504633
0.20381481969908324,0.252,0.5441851803009168
0.204,0.25144977215495207,0.544550227845048
0.20414515253897197,0.251,0.5448548474610281
0.20442565216055056,0.25,0.5455743478394495
0.20466460631576736,0.249,0.5463353936842327
0.20485987660157962,0.248,0.5471401233984203
0.205,0.24706063085122276,0.5479393691487773
0.2050086724636077,0.247,0.5479913275363922
0.20510382254394938,0.246,0.5488961774560506
0.20515081958493828,0.245,0.5498491804150617
0.20514721832116128,0.244,0.5508527816788387
0.20509042142989442,0.243,0.5519095785701056
0.205,0.24219547216660003,0.5528045278334
0.2049762167340404,0.242,0.5530237832659596
0.20479319728843245,0.241,0.5542068027115675
0.2045435798737606,0.24,0.5554564201262394
0.20422355369025352,0.239,0.5567764463097465
0.204,0.23842879515103235,0.5575712048489677
0.20381617792798232,0.238,0.5581838220720177
0.2033062130093804,0.237,0.5596937869906197
0.203,0.23648582450052286,0.5605141754994771
0.2026794585641599,0.236,0.5613205414358401
0.202,0.23510460785791612,0.562895392142084
0.20191100557446354,0.235,0.5630889944255365
0.201,0.23405287748849146,0.5649471225115085
0.20094211892833388,0.234,0.5650578810716661
0.2,0.23322851643571,0.5667714835642901
0.1996761815653897,0.233,0.5673238184346103
0.199,0.2325676609024562,0.5684323390975438
0.198,0.23203034197231615,0.5699696580276838
0.19793188592097735,0.232,0.5700681140790227
0.197,0.23161986382703634,0.5713801361729636
0.196,0.23129876697207707,0.572701233027923
0.195,0.23106047570318586,0.573939524296814
0.1946255192983504,0.231,0.5743744807016496
0.194,0.23090656549036268,0.5750934345096373
0.193,0.2308263407197566,0.5761736592802433
0.192,0.2308130313130014,0.5771869686869986
0.191,0.23086367131460955,0.5781363286853904
0.19,0.23097549286944577,0.5790245071305543
0.1898580811314036,0.231,0.5791419188685965
0.189,0.23115419124128886,0.5798458087587111
0.188,0.23139330011887502,0.580606699881125
0.187,0.2316888814888825,0.5813111185111175
0.1861118501031144,0.232,0.5818881498968856
0.186,0.2320407774342553,0.5819592225657447
0.185,0.23246486167023991,0.58253513832976
0.184,0.23294082048775047,0.5830591795122496
0.1838889725815775,0.233,0.5831110274184225
0.183,0.2334932180257197,0.5835067819742803
0.18216495842577501,0.234,0.583835041574225
0.182,0.23410436262505346,0.5838956373749467
0.181,0.2347950939365985,0.5842049060634015
0.18072549107591826,0.235,0.5842745089240817
